config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N4G4,SVM,accuracy,0.7254,0.1106,0.68,0.7658,0.4167,0.875,25
N4G4,SVM,balanced_accuracy,0.7251,0.1105,0.6799,0.7653,0.4167,0.875,25
N4G4,SVM,sensitivity,0.7736,0.1309,0.7205,0.8221,0.4167,1.0,25
N4G4,SVM,specificity,0.6767,0.134,0.6233,0.73,0.4167,0.9167,25
N4G4,SVM,precision,0.7126,0.1154,0.6643,0.7557,0.4167,0.9091,25
N4G4,SVM,recall,0.7736,0.1309,0.7205,0.8221,0.4167,1.0,25
N4G4,SVM,f1,0.7383,0.1107,0.692,0.778,0.4167,0.88,25
N4G4,SVM,auc_roc,0.8126,0.1021,0.7715,0.8506,0.5486,0.9583,25
N4G4,SVM,mcc,0.4576,0.2236,0.3661,0.5388,-0.1667,0.7526,25
