config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N3G3,SVM,accuracy,0.7353,0.0926,0.6977,0.7699,0.5,0.875,25
N3G3,SVM,balanced_accuracy,0.735,0.0927,0.6978,0.7696,0.5,0.875,25
N3G3,SVM,sensitivity,0.7733,0.1134,0.7282,0.8203,0.5833,1.0,25
N3G3,SVM,specificity,0.6967,0.1824,0.6233,0.7667,0.25,1.0,25
N3G3,SVM,precision,0.7396,0.1155,0.6947,0.7849,0.5,1.0,25
N3G3,SVM,recall,0.7733,0.1134,0.7282,0.8203,0.5833,1.0,25
N3G3,SVM,f1,0.7474,0.0803,0.7144,0.7774,0.56,0.8571,25
N3G3,SVM,auc_roc,0.796,0.0838,0.764,0.8279,0.5764,0.9514,25
N3G3,SVM,mcc,0.4828,0.1856,0.4063,0.5518,0.0,0.7746,25
