config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N5G5,SVM,r1f1,0,0,0,1.0,,0.025118864315095794,100.0,0.78125,25,12,13,96,48,48,9,10,2,4,0.76,0.7628205128205128,0.6923076923076923,0.8333333333333334,0.8181818181818182,0.6923076923076923,0.75,0.7884615384615384,0.5290432684448219
N5G5,SVM,r1f2,0,1,0,1.0,,0.00630957344480193,100.0,0.8039215686274509,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7222222222222223,0.5
N5G5,SVM,r1f3,0,2,0,1.0,,0.00630957344480193,100.0,0.7518382352941176,24,12,12,97,48,49,9,11,1,3,0.8333333333333334,0.8333333333333333,0.75,0.9166666666666666,0.9,0.75,0.8181818181818182,0.9652777777777778,0.6761234037828132
N5G5,SVM,r1f4,0,3,0,0.31622776601683794,,0.025118864315095794,100.0,0.7837009803921569,24,12,12,97,48,49,6,6,6,6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6041666666666667,0.0
N5G5,SVM,r1f5,0,4,0,1.0,,0.025118864315095794,100.0,0.7414215686274509,24,12,12,97,48,49,10,9,3,2,0.7916666666666666,0.7916666666666667,0.8333333333333334,0.75,0.7692307692307693,0.8333333333333334,0.8,0.8750000000000001,0.5853694070049635
N5G5,SVM,r2f1,1,0,1,0.03162277660168379,,0.1,100.0,0.7395833333333334,25,12,13,96,48,48,9,7,5,4,0.64,0.6378205128205128,0.6923076923076923,0.5833333333333334,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.7564102564102564,0.2774251285747237
N5G5,SVM,r2f2,1,1,1,0.31622776601683794,,0.00630957344480193,100.0,0.7634803921568628,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.861111111111111,0.50709255283711
N5G5,SVM,r2f3,1,2,1,0.31622776601683794,,0.025118864315095794,100.0,0.7634803921568628,24,12,12,97,48,49,10,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8819444444444444,0.6666666666666666
N5G5,SVM,r2f4,1,3,1,0.03162277660168379,,0.1,100.0,0.7218137254901961,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8055555555555556,0.50709255283711
N5G5,SVM,r2f5,1,4,1,0.03162277660168379,,0.1,10.0,0.6789215686274509,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.7916666666666666,0.4181210050035454
N5G5,SVM,r3f1,2,0,2,0.1,,0.1,100.0,0.71875,25,12,13,96,48,48,11,11,1,2,0.88,0.8814102564102564,0.8461538461538461,0.9166666666666666,0.9166666666666666,0.8461538461538461,0.88,0.8974358974358975,0.7628205128205128
N5G5,SVM,r3f2,2,1,2,1.0,,0.025118864315095794,100.0,0.7506127450980392,24,12,12,97,48,49,12,8,4,0,0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.75,1.0,0.8571428571428571,0.9236111111111112,0.7071067811865476
N5G5,SVM,r3f3,2,2,2,0.31622776601683794,,0.1,100.0,0.7628676470588235,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.875,0.5853694070049635
N5G5,SVM,r3f4,2,3,2,1.0,,0.00630957344480193,100.0,0.8253676470588235,24,12,12,97,48,49,7,8,4,5,0.625,0.625,0.5833333333333334,0.6666666666666666,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.7222222222222222,0.2508726030021272
N5G5,SVM,r3f5,2,4,2,0.31622776601683794,,0.1,100.0,0.7647058823529411,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.736111111111111,0.43033148291193524
N5G5,SVM,r4f1,3,0,3,0.1,,0.1,100.0,0.8229166666666666,25,12,13,96,48,48,11,8,4,2,0.76,0.7564102564102564,0.8461538461538461,0.6666666666666666,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.8076923076923077,0.5229763603684907
N5G5,SVM,r4f2,3,1,3,0.31622776601683794,,0.00630957344480193,1.0,0.7310049019607843,24,12,12,97,48,49,8,4,8,4,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6736111111111112,0.0
N5G5,SVM,r4f3,3,2,3,0.03162277660168379,,0.1,100.0,0.7193627450980392,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.9097222222222221,0.50709255283711
N5G5,SVM,r4f4,3,3,3,1.0,,0.025118864315095794,100.0,0.7328431372549019,24,12,12,97,48,49,7,8,4,5,0.625,0.625,0.5833333333333334,0.6666666666666666,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.7986111111111112,0.2508726030021272
N5G5,SVM,r4f5,3,4,3,0.1,,0.1,10.0,0.7316176470588235,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.8333333333333334,0.43033148291193524
N5G5,SVM,r5f1,4,0,4,0.31622776601683794,,0.1,100.0,0.6770833333333334,25,12,13,96,48,48,12,8,4,1,0.8,0.7948717948717949,0.9230769230769231,0.6666666666666666,0.75,0.9230769230769231,0.8275862068965517,0.8653846153846154,0.6138245895861674
N5G5,SVM,r5f2,4,1,4,0.31622776601683794,,0.00630957344480193,100.0,0.6605392156862745,24,12,12,97,48,49,6,10,2,6,0.6666666666666666,0.6666666666666667,0.5,0.8333333333333334,0.75,0.5,0.6,0.8055555555555556,0.3535533905932738
