config_tag,classifier,permutation_index,balanced_accuracy
N4G4,PPK-SVM,0,0.5114102564102564
N4G4,PPK-SVM,1,0.45782051282051284
N4G4,PPK-SVM,2,0.4682051282051283
N4G4,PPK-SVM,3,0.45961538461538465
N4G4,PPK-SVM,4,0.49769230769230766
N4G4,PPK-SVM,5,0.47089743589743593
N4G4,PPK-SVM,6,0.56
N4G4,PPK-SVM,7,0.5565384615384615
N4G4,PPK-SVM,8,0.4619230769230769
N4G4,PPK-SVM,9,0.43948717948717947
N4G4,PPK-SVM,10,0.4800000000000001
N4G4,PPK-SVM,11,0.5357692307692308
N4G4,PPK-SVM,12,0.5143589743589744
N4G4,PPK-SVM,13,0.4897435897435898
N4G4,PPK-SVM,14,0.4696153846153846
N4G4,PPK-SVM,15,0.4397435897435898
N4G4,PPK-SVM,16,0.5067948717948717
N4G4,PPK-SVM,17,0.4603846153846154
N4G4,PPK-SVM,18,0.5260256410256411
N4G4,PPK-SVM,19,0.5433333333333333
N4G4,PPK-SVM,20,0.49179487179487175
N4G4,PPK-SVM,21,0.5102564102564103
N4G4,PPK-SVM,22,0.5291025641025641
N4G4,PPK-SVM,23,0.5489743589743589
N4G4,PPK-SVM,24,0.5425641025641026
N4G4,PPK-SVM,25,0.5075641025641026
N4G4,PPK-SVM,26,0.5082051282051282
N4G4,PPK-SVM,27,0.5205128205128206
N4G4,PPK-SVM,28,0.5134615384615384
N4G4,PPK-SVM,29,0.4623076923076923
N4G4,PPK-SVM,30,0.48653846153846153
N4G4,PPK-SVM,31,0.5083333333333333
N4G4,PPK-SVM,32,0.49858974358974356
N4G4,PPK-SVM,33,0.5011538461538462
N4G4,PPK-SVM,34,0.4898717948717949
N4G4,PPK-SVM,35,0.4844871794871794
N4G4,PPK-SVM,36,0.5057692307692307
N4G4,PPK-SVM,37,0.518974358974359
N4G4,PPK-SVM,38,0.5124358974358975
N4G4,PPK-SVM,39,0.4898717948717949
N4G4,PPK-SVM,40,0.4874358974358975
N4G4,PPK-SVM,41,0.44012820512820516
N4G4,PPK-SVM,42,0.5206410256410257
N4G4,PPK-SVM,43,0.4558974358974359
N4G4,PPK-SVM,44,0.5215384615384615
N4G4,PPK-SVM,45,0.5508974358974359
N4G4,PPK-SVM,46,0.536923076923077
N4G4,PPK-SVM,47,0.5494871794871795
N4G4,PPK-SVM,48,0.43794871794871804
N4G4,PPK-SVM,49,0.5332051282051282
N4G4,PPK-SVM,50,0.5614102564102564
N4G4,PPK-SVM,51,0.5629487179487179
N4G4,PPK-SVM,52,0.5194871794871795
N4G4,PPK-SVM,53,0.44871794871794873
N4G4,PPK-SVM,54,0.501923076923077
N4G4,PPK-SVM,55,0.5553846153846154
N4G4,PPK-SVM,56,0.5515384615384615
N4G4,PPK-SVM,57,0.4903846153846154
N4G4,PPK-SVM,58,0.4773076923076923
N4G4,PPK-SVM,59,0.5107692307692308
N4G4,PPK-SVM,60,0.4843589743589744
N4G4,PPK-SVM,61,0.4882051282051282
N4G4,PPK-SVM,62,0.48717948717948717
N4G4,PPK-SVM,63,0.4733333333333334
N4G4,PPK-SVM,64,0.6087179487179487
N4G4,PPK-SVM,65,0.5198717948717949
N4G4,PPK-SVM,66,0.5517948717948719
N4G4,PPK-SVM,67,0.5896153846153847
N4G4,PPK-SVM,68,0.5107692307692308
N4G4,PPK-SVM,69,0.45141025641025645
N4G4,PPK-SVM,70,0.596025641025641
N4G4,PPK-SVM,71,0.458076923076923
N4G4,PPK-SVM,72,0.5096153846153846
N4G4,PPK-SVM,73,0.4747435897435897
N4G4,PPK-SVM,74,0.5512820512820512
N4G4,PPK-SVM,75,0.505897435897436
N4G4,PPK-SVM,76,0.5414102564102564
N4G4,PPK-SVM,77,0.5296153846153847
N4G4,PPK-SVM,78,0.5338461538461539
N4G4,PPK-SVM,79,0.6038461538461539
N4G4,PPK-SVM,80,0.5602564102564103
N4G4,PPK-SVM,81,0.4941025641025641
N4G4,PPK-SVM,82,0.5862820512820511
N4G4,PPK-SVM,83,0.5307692307692308
N4G4,PPK-SVM,84,0.4919230769230769
N4G4,PPK-SVM,85,0.44782051282051283
N4G4,PPK-SVM,86,0.5367948717948718
N4G4,PPK-SVM,87,0.5047435897435897
N4G4,PPK-SVM,88,0.4961538461538461
N4G4,PPK-SVM,89,0.45089743589743586
N4G4,PPK-SVM,90,0.5178205128205128
N4G4,PPK-SVM,91,0.4673076923076923
N4G4,PPK-SVM,92,0.42846153846153845
N4G4,PPK-SVM,93,0.4065384615384615
N4G4,PPK-SVM,94,0.5023076923076922
N4G4,PPK-SVM,95,0.512948717948718
N4G4,PPK-SVM,96,0.5025641025641027
N4G4,PPK-SVM,97,0.5134615384615384
N4G4,PPK-SVM,98,0.5226923076923077
N4G4,PPK-SVM,99,0.57
N4G4,PPK-SVM,100,0.49435897435897436
N4G4,PPK-SVM,101,0.5373076923076923
N4G4,PPK-SVM,102,0.535897435897436
N4G4,PPK-SVM,103,0.5894871794871794
N4G4,PPK-SVM,104,0.5697435897435897
N4G4,PPK-SVM,105,0.548974358974359
N4G4,PPK-SVM,106,0.5444871794871795
N4G4,PPK-SVM,107,0.5021794871794871
N4G4,PPK-SVM,108,0.5816666666666667
N4G4,PPK-SVM,109,0.475
N4G4,PPK-SVM,110,0.5217948717948718
N4G4,PPK-SVM,111,0.45346153846153847
N4G4,PPK-SVM,112,0.5230769230769231
N4G4,PPK-SVM,113,0.5310256410256411
N4G4,PPK-SVM,114,0.56
N4G4,PPK-SVM,115,0.3969230769230769
N4G4,PPK-SVM,116,0.48935897435897435
N4G4,PPK-SVM,117,0.45294871794871805
N4G4,PPK-SVM,118,0.498974358974359
N4G4,PPK-SVM,119,0.483974358974359
N4G4,PPK-SVM,120,0.5447435897435897
N4G4,PPK-SVM,121,0.5465384615384616
N4G4,PPK-SVM,122,0.6155128205128205
N4G4,PPK-SVM,123,0.61
N4G4,PPK-SVM,124,0.5148717948717949
N4G4,PPK-SVM,125,0.4787179487179487
N4G4,PPK-SVM,126,0.5103846153846154
N4G4,PPK-SVM,127,0.5729487179487179
N4G4,PPK-SVM,128,0.5089743589743589
N4G4,PPK-SVM,129,0.5410256410256411
N4G4,PPK-SVM,130,0.5908974358974359
N4G4,PPK-SVM,131,0.39320512820512826
N4G4,PPK-SVM,132,0.5271794871794873
N4G4,PPK-SVM,133,0.4111538461538462
N4G4,PPK-SVM,134,0.5987179487179487
N4G4,PPK-SVM,135,0.5602564102564103
N4G4,PPK-SVM,136,0.5138461538461538
N4G4,PPK-SVM,137,0.5488461538461538
N4G4,PPK-SVM,138,0.43243589743589744
N4G4,PPK-SVM,139,0.38846153846153847
