config_tag,classifier,fold_id,repeat,fold,outer_seed,best_T,best_rho,best_k,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N5G5,PPK-SVM,r1f1,0,0,0,1,0.1,,100.0,0.7291666666666666,25,12,13,96,48,48,9,12,0,4,0.84,0.8461538461538461,0.6923076923076923,1.0,1.0,0.6923076923076923,0.8181818181818182,0.8397435897435898,0.7205766921228921
N5G5,PPK-SVM,r1f2,0,1,0,2,0.25,,100.0,0.7935049019607843,24,12,12,97,48,49,8,6,6,4,0.5833333333333334,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7638888888888888,0.1690308509457033
N5G5,PPK-SVM,r1f3,0,2,0,5,0.4,,1.0,0.7506127450980392,24,12,12,97,48,49,10,11,1,2,0.875,0.875,0.8333333333333334,0.9166666666666666,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9444444444444444,0.7526178090063816
N5G5,PPK-SVM,r1f4,0,3,0,3,0.55,,100.0,0.7947303921568628,24,12,12,97,48,49,9,7,5,3,0.6666666666666666,0.6666666666666667,0.75,0.5833333333333334,0.6428571428571429,0.75,0.6923076923076923,0.7083333333333333,0.3380617018914066
N5G5,PPK-SVM,r1f5,0,4,0,2,0.1,,10.0,0.7616421568627452,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8402777777777778,0.6024640760767094
N5G5,PPK-SVM,r2f1,1,0,1,3,0.55,,100.0,0.78125,25,12,13,96,48,48,8,8,4,5,0.64,0.641025641025641,0.6153846153846154,0.6666666666666666,0.6666666666666666,0.6153846153846154,0.64,0.6858974358974359,0.28205128205128205
N5G5,PPK-SVM,r2f2,1,1,1,7,0.55,,10.0,0.7935049019607843,24,12,12,97,48,49,9,7,5,3,0.6666666666666666,0.6666666666666667,0.75,0.5833333333333334,0.6428571428571429,0.75,0.6923076923076923,0.763888888888889,0.3380617018914066
N5G5,PPK-SVM,r2f3,1,2,1,15,0.4,,10.0,0.7414215686274509,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8541666666666666,0.50709255283711
N5G5,PPK-SVM,r2f4,1,3,1,3,0.4,,10.0,0.7218137254901961,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8819444444444445,0.50709255283711
N5G5,PPK-SVM,r2f5,1,4,1,1,0.1,,1.0,0.698529411764706,24,12,12,97,48,49,11,9,3,1,0.8333333333333334,0.8333333333333333,0.9166666666666666,0.75,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8819444444444445,0.6761234037828132
