config_tag,classifier,permutation_index,balanced_accuracy
N4G4,KNN,0,0.4361538461538461
N4G4,KNN,1,0.52
N4G4,KNN,2,0.48179487179487174
N4G4,KNN,3,0.437948717948718
N4G4,KNN,4,0.4808974358974359
N4G4,KNN,5,0.4601282051282051
N4G4,KNN,6,0.5401282051282051
N4G4,KNN,7,0.5548717948717949
N4G4,KNN,8,0.45653846153846156
N4G4,KNN,9,0.45384615384615384
N4G4,KNN,10,0.5011538461538462
N4G4,KNN,11,0.5041025641025642
N4G4,KNN,12,0.5357692307692308
N4G4,KNN,13,0.5269230769230769
N4G4,KNN,14,0.5507692307692307
N4G4,KNN,15,0.47692307692307695
N4G4,KNN,16,0.46358974358974364
N4G4,KNN,17,0.4978205128205129
N4G4,KNN,18,0.5224358974358975
N4G4,KNN,19,0.5089743589743589
N4G4,KNN,20,0.5248717948717949
N4G4,KNN,21,0.5537179487179487
N4G4,KNN,22,0.5178205128205129
N4G4,KNN,23,0.5605128205128206
N4G4,KNN,24,0.4988461538461539
N4G4,KNN,25,0.5707692307692307
N4G4,KNN,26,0.5270512820512819
N4G4,KNN,27,0.5442307692307692
N4G4,KNN,28,0.5094871794871795
N4G4,KNN,29,0.4398717948717949
N4G4,KNN,30,0.42782051282051275
N4G4,KNN,31,0.4861538461538462
N4G4,KNN,32,0.45692307692307693
N4G4,KNN,33,0.40858974358974365
N4G4,KNN,34,0.4933333333333333
N4G4,KNN,35,0.502051282051282
N4G4,KNN,36,0.5251282051282051
N4G4,KNN,37,0.4917948717948718
N4G4,KNN,38,0.3947435897435897
N4G4,KNN,39,0.502051282051282
N4G4,KNN,40,0.4812820512820513
N4G4,KNN,41,0.5233333333333333
N4G4,KNN,42,0.4720512820512821
N4G4,KNN,43,0.498974358974359
N4G4,KNN,44,0.48217948717948717
N4G4,KNN,45,0.47384615384615386
N4G4,KNN,46,0.5393589743589744
N4G4,KNN,47,0.5392307692307692
N4G4,KNN,48,0.48935897435897435
N4G4,KNN,49,0.5380769230769231
N4G4,KNN,50,0.5907692307692307
N4G4,KNN,51,0.43974358974358974
N4G4,KNN,52,0.5056410256410256
N4G4,KNN,53,0.4714102564102564
N4G4,KNN,54,0.5505128205128205
N4G4,KNN,55,0.5
N4G4,KNN,56,0.43217948717948723
N4G4,KNN,57,0.4982051282051281
N4G4,KNN,58,0.453974358974359
N4G4,KNN,59,0.5078205128205129
N4G4,KNN,60,0.5219230769230768
N4G4,KNN,61,0.48
N4G4,KNN,62,0.49435897435897436
N4G4,KNN,63,0.5271794871794871
N4G4,KNN,64,0.5420512820512821
N4G4,KNN,65,0.45858974358974364
N4G4,KNN,66,0.5620512820512821
N4G4,KNN,67,0.5401282051282051
N4G4,KNN,68,0.486025641025641
N4G4,KNN,69,0.46025641025641023
N4G4,KNN,70,0.5428205128205128
N4G4,KNN,71,0.45871794871794874
N4G4,KNN,72,0.4794871794871795
N4G4,KNN,73,0.5311538461538461
N4G4,KNN,74,0.5384615384615384
N4G4,KNN,75,0.4843589743589743
N4G4,KNN,76,0.5257692307692308
N4G4,KNN,77,0.5128205128205128
N4G4,KNN,78,0.5184615384615384
N4G4,KNN,79,0.4830769230769231
N4G4,KNN,80,0.49500000000000005
N4G4,KNN,81,0.5328205128205128
N4G4,KNN,82,0.48102564102564105
N4G4,KNN,83,0.49384615384615393
N4G4,KNN,84,0.4621794871794872
N4G4,KNN,85,0.4482051282051282
N4G4,KNN,86,0.47384615384615386
N4G4,KNN,87,0.5503846153846154
N4G4,KNN,88,0.4617948717948718
N4G4,KNN,89,0.47217948717948716
N4G4,KNN,90,0.5107692307692308
N4G4,KNN,91,0.5243589743589744
N4G4,KNN,92,0.5061538461538462
N4G4,KNN,93,0.4317948717948718
N4G4,KNN,94,0.5733333333333334
N4G4,KNN,95,0.49743589743589745
N4G4,KNN,96,0.5815384615384616
N4G4,KNN,97,0.5042307692307693
N4G4,KNN,98,0.5366666666666667
N4G4,KNN,99,0.5173076923076922
N4G4,KNN,100,0.5108974358974359
N4G4,KNN,101,0.4871794871794872
N4G4,KNN,102,0.502948717948718
N4G4,KNN,103,0.5402564102564102
N4G4,KNN,104,0.5380769230769231
N4G4,KNN,105,0.5320512820512822
N4G4,KNN,106,0.5207692307692308
N4G4,KNN,107,0.515
N4G4,KNN,108,0.46897435897435896
N4G4,KNN,109,0.5556410256410256
N4G4,KNN,110,0.5052564102564102
N4G4,KNN,111,0.43641025641025644
N4G4,KNN,112,0.5505128205128205
N4G4,KNN,113,0.48628205128205126
N4G4,KNN,114,0.443974358974359
N4G4,KNN,115,0.5001282051282051
N4G4,KNN,116,0.5056410256410255
N4G4,KNN,117,0.5019230769230769
N4G4,KNN,118,0.385
N4G4,KNN,119,0.49935897435897436
N4G4,KNN,120,0.5129487179487179
N4G4,KNN,121,0.4871794871794872
N4G4,KNN,122,0.5582051282051281
N4G4,KNN,123,0.5132051282051282
N4G4,KNN,124,0.49397435897435893
N4G4,KNN,125,0.48115384615384615
N4G4,KNN,126,0.5455128205128205
N4G4,KNN,127,0.5902564102564103
N4G4,KNN,128,0.4506410256410256
N4G4,KNN,129,0.4670512820512821
N4G4,KNN,130,0.5632051282051281
N4G4,KNN,131,0.5266666666666666
N4G4,KNN,132,0.45730769230769236
N4G4,KNN,133,0.48705128205128206
N4G4,KNN,134,0.5130769230769231
N4G4,KNN,135,0.5033333333333334
N4G4,KNN,136,0.4744871794871795
N4G4,KNN,137,0.548974358974359
N4G4,KNN,138,0.5125641025641026
N4G4,KNN,139,0.4625641025641026
N4G4,KNN,140,0.5276923076923077
N4G4,KNN,141,0.4814102564102564
N4G4,KNN,142,0.4643589743589744
N4G4,KNN,143,0.5125641025641026
N4G4,KNN,144,0.5748717948717949
N4G4,KNN,145,0.4547435897435898
N4G4,KNN,146,0.4201282051282051
N4G4,KNN,147,0.5067948717948717
N4G4,KNN,148,0.5123076923076924
N4G4,KNN,149,0.4171794871794872
N4G4,KNN,150,0.4762820512820513
N4G4,KNN,151,0.48423076923076924
N4G4,KNN,152,0.3898717948717948
N4G4,KNN,153,0.544102564102564
N4G4,KNN,154,0.5855128205128205
N4G4,KNN,155,0.4739743589743589
N4G4,KNN,156,0.5337179487179488
N4G4,KNN,157,0.49346153846153845
N4G4,KNN,158,0.476923076923077
N4G4,KNN,159,0.5075641025641026
N4G4,KNN,160,0.5019230769230769
N4G4,KNN,161,0.4856410256410257
N4G4,KNN,162,0.5362820512820513
N4G4,KNN,163,0.5271794871794871
N4G4,KNN,164,0.5465384615384615
N4G4,KNN,165,0.4653846153846154
N4G4,KNN,166,0.5373076923076924
N4G4,KNN,167,0.36320512820512824
N4G4,KNN,168,0.486025641025641
N4G4,KNN,169,0.44179487179487176
N4G4,KNN,170,0.4757692307692307
N4G4,KNN,171,0.4633333333333334
N4G4,KNN,172,0.47641025641025647
N4G4,KNN,173,0.5355128205128206
N4G4,KNN,174,0.5488461538461539
N4G4,KNN,175,0.5698717948717948
N4G4,KNN,176,0.5602564102564103
N4G4,KNN,177,0.5047435897435899
N4G4,KNN,178,0.4732051282051282
N4G4,KNN,179,0.4814102564102564
N4G4,KNN,180,0.49871794871794867
N4G4,KNN,181,0.4541025641025641
N4G4,KNN,182,0.4091025641025642
N4G4,KNN,183,0.45782051282051284
N4G4,KNN,184,0.5428205128205128
N4G4,KNN,185,0.5432051282051282
N4G4,KNN,186,0.4764102564102564
N4G4,KNN,187,0.5370512820512822
