config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N4G4,KNN,r1f1,0,0,0,0.1,3,,,0.6979166666666666,25,12,13,96,48,48,12,8,4,1,0.8,0.7948717948717949,0.9230769230769231,0.6666666666666666,0.75,0.9230769230769231,0.8275862068965517,0.8397435897435899,0.6138245895861674
N4G4,KNN,r1f2,0,1,0,0.001,3,,,0.7634803921568628,24,12,12,97,48,49,9,5,7,3,0.5833333333333334,0.5833333333333334,0.75,0.4166666666666667,0.5625,0.75,0.6428571428571429,0.7430555555555556,0.1767766952966369
N4G4,KNN,r1f3,0,2,0,0.01,9,,,0.6587009803921569,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.875,0.50709255283711
N4G4,KNN,r1f4,0,3,0,0.03162277660168379,5,,,0.8026960784313726,24,12,12,97,48,49,8,3,9,4,0.4583333333333333,0.4583333333333333,0.6666666666666666,0.25,0.47058823529411764,0.6666666666666666,0.5517241379310345,0.5243055555555556,-0.09166984970282113
N4G4,KNN,r1f5,0,4,0,0.001,5,,,0.7089460784313726,24,12,12,97,48,49,11,7,5,1,0.75,0.75,0.9166666666666666,0.5833333333333334,0.6875,0.9166666666666666,0.7857142857142857,0.8402777777777777,0.5303300858899107
N4G4,KNN,r2f1,1,0,1,0.03162277660168379,7,,,0.6979166666666666,25,12,13,96,48,48,11,6,6,2,0.68,0.6730769230769231,0.8461538461538461,0.5,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.8653846153846154,0.3707336495572356
N4G4,KNN,r2f2,1,1,1,0.31622776601683794,5,,,0.7622549019607843,24,12,12,97,48,49,8,5,7,4,0.5416666666666666,0.5416666666666666,0.6666666666666666,0.4166666666666667,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.7013888888888888,0.08606629658238706
N4G4,KNN,r2f3,1,2,1,0.03162277660168379,7,,,0.7310049019607843,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8958333333333334,0.6024640760767094
N4G4,KNN,r2f4,1,3,1,0.31622776601683794,1,,,0.7028186274509803,24,12,12,97,48,49,7,10,2,5,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.8333333333333334,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.7083333333333335,0.43033148291193524
N4G4,KNN,r2f5,1,4,1,0.31622776601683794,3,,,0.6691176470588235,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.8368055555555556,0.50709255283711
N4G4,KNN,r3f1,2,0,2,0.31622776601683794,1,,,0.71875,25,12,13,96,48,48,10,12,0,3,0.88,0.8846153846153846,0.7692307692307693,1.0,1.0,0.7692307692307693,0.8695652173913043,0.8846153846153846,0.7844645405527362
N4G4,KNN,r3f2,2,1,2,0.1,5,,,0.6574754901960784,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.8263888888888888,0.4181210050035454
N4G4,KNN,r3f3,2,2,2,0.03162277660168379,1,,,0.7126225490196078,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5
N4G4,KNN,r3f4,2,3,2,0.01,9,,,0.7199754901960785,24,12,12,97,48,49,12,6,6,0,0.75,0.75,1.0,0.5,0.6666666666666666,1.0,0.8,0.7083333333333333,0.5773502691896257
N4G4,KNN,r3f5,2,4,2,0.001,1,,,0.7126225490196078,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.7083333333333334,0.4181210050035454
N4G4,KNN,r4f1,3,0,3,0.1,5,,,0.7291666666666666,25,12,13,96,48,48,10,5,7,3,0.6,0.592948717948718,0.7692307692307693,0.4166666666666667,0.5882352941176471,0.7692307692307693,0.6666666666666666,0.8012820512820512,0.19909770068814503
N4G4,KNN,r4f2,3,1,3,0.0031622776601683794,7,,,0.7316176470588235,24,12,12,97,48,49,7,6,6,5,0.5416666666666666,0.5416666666666667,0.5833333333333334,0.5,0.5384615384615384,0.5833333333333334,0.56,0.6041666666666666,0.08362420100070908
N4G4,KNN,r4f3,3,2,3,0.03162277660168379,7,,,0.6887254901960785,24,12,12,97,48,49,8,9,3,4,0.7083333333333334,0.7083333333333333,0.6666666666666666,0.75,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8680555555555555,0.4181210050035454
N4G4,KNN,r4f4,3,3,3,1.0,1,,,0.6470588235294118,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7500000000000002,0.50709255283711
N4G4,KNN,r4f5,3,4,3,0.1,3,,,0.7199754901960785,24,12,12,97,48,49,7,5,7,5,0.5,0.5,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.5384615384615384,0.65625,0.0
N4G4,KNN,r5f1,4,0,4,0.01,7,,,0.6145833333333334,25,12,13,96,48,48,12,7,5,1,0.76,0.7532051282051282,0.9230769230769231,0.5833333333333334,0.7058823529411765,0.9230769230769231,0.8,0.8974358974358975,0.5423695984263261
N4G4,KNN,r5f2,4,1,4,0.001,1,,,0.7107843137254902,24,12,12,97,48,49,6,8,4,6,0.5833333333333334,0.5833333333333333,0.5,0.6666666666666666,0.6,0.5,0.5454545454545454,0.5833333333333334,0.1690308509457033
N4G4,KNN,r5f3,4,2,4,0.31622776601683794,1,,,0.6274509803921569,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.7916666666666667,0.5853694070049635
N4G4,KNN,r5f4,4,3,4,0.31622776601683794,1,,,0.8033088235294118,24,12,12,97,48,49,5,10,2,7,0.625,0.625,0.4166666666666667,0.8333333333333334,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.625,0.27500954910846337
N4G4,KNN,r5f5,4,4,4,0.01,3,,,0.7028186274509803,24,12,12,97,48,49,12,4,8,0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6,1.0,0.75,0.8194444444444444,0.4472135954999579
