config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N4G4,KNN,accuracy,0.6855,0.1031,0.6436,0.7248,0.4583,0.88,25
N4G4,KNN,balanced_accuracy,0.6846,0.1033,0.6429,0.7236,0.4583,0.8846,25
N4G4,KNN,sensitivity,0.7526,0.1482,0.6943,0.8095,0.4167,1.0,25
N4G4,KNN,specificity,0.6167,0.1795,0.5467,0.6833,0.25,1.0,25
N4G4,KNN,precision,0.6794,0.113,0.6355,0.724,0.4706,1.0,25
N4G4,KNN,recall,0.7526,0.1482,0.6943,0.8095,0.4167,1.0,25
N4G4,KNN,f1,0.7042,0.0996,0.6655,0.7421,0.5263,0.8696,25
N4G4,KNN,auc_roc,0.7642,0.1039,0.7218,0.8031,0.5243,0.8974,25
N4G4,KNN,mcc,0.3863,0.2137,0.3017,0.4668,-0.0917,0.7845,25
