config_tag,classifier,permutation_index,balanced_accuracy
N3G3,PPK-SVM,0,0.4924358974358974
N3G3,PPK-SVM,1,0.4246153846153846
N3G3,PPK-SVM,2,0.5143589743589744
N3G3,PPK-SVM,3,0.5256410256410257
N3G3,PPK-SVM,4,0.4669230769230769
N3G3,PPK-SVM,5,0.4261538461538462
N3G3,PPK-SVM,6,0.5206410256410257
N3G3,PPK-SVM,7,0.5653846153846154
N3G3,PPK-SVM,8,0.5658974358974358
N3G3,PPK-SVM,9,0.4892307692307692
N3G3,PPK-SVM,10,0.5025641025641026
N3G3,PPK-SVM,11,0.5367948717948717
N3G3,PPK-SVM,12,0.441025641025641
N3G3,PPK-SVM,13,0.4494871794871795
N3G3,PPK-SVM,14,0.49205128205128207
N3G3,PPK-SVM,15,0.5862820512820512
N3G3,PPK-SVM,16,0.5214102564102564
N3G3,PPK-SVM,17,0.4461538461538462
N3G3,PPK-SVM,18,0.4608974358974359
N3G3,PPK-SVM,19,0.502051282051282
N3G3,PPK-SVM,20,0.45307692307692304
N3G3,PPK-SVM,21,0.47397435897435897
N3G3,PPK-SVM,22,0.4703846153846154
N3G3,PPK-SVM,23,0.5093589743589745
N3G3,PPK-SVM,24,0.5865384615384616
N3G3,PPK-SVM,25,0.4614102564102564
N3G3,PPK-SVM,26,0.5602564102564103
N3G3,PPK-SVM,27,0.4956410256410257
N3G3,PPK-SVM,28,0.47025641025641024
N3G3,PPK-SVM,29,0.565897435897436
N3G3,PPK-SVM,30,0.4625641025641026
N3G3,PPK-SVM,31,0.4784615384615385
N3G3,PPK-SVM,32,0.48666666666666664
N3G3,PPK-SVM,33,0.498974358974359
N3G3,PPK-SVM,34,0.54
N3G3,PPK-SVM,35,0.455
N3G3,PPK-SVM,36,0.5126923076923078
N3G3,PPK-SVM,37,0.47717948717948716
N3G3,PPK-SVM,38,0.4642307692307693
N3G3,PPK-SVM,39,0.4784615384615385
N3G3,PPK-SVM,40,0.4338461538461539
N3G3,PPK-SVM,41,0.5392307692307692
N3G3,PPK-SVM,42,0.5221794871794873
N3G3,PPK-SVM,43,0.44358974358974357
N3G3,PPK-SVM,44,0.5242307692307692
N3G3,PPK-SVM,45,0.48320512820512823
N3G3,PPK-SVM,46,0.5357692307692308
N3G3,PPK-SVM,47,0.543974358974359
N3G3,PPK-SVM,48,0.40320512820512827
N3G3,PPK-SVM,49,0.512948717948718
N3G3,PPK-SVM,50,0.47858974358974365
N3G3,PPK-SVM,51,0.5484615384615386
N3G3,PPK-SVM,52,0.4744871794871795
N3G3,PPK-SVM,53,0.44230769230769235
N3G3,PPK-SVM,54,0.5321794871794872
N3G3,PPK-SVM,55,0.5206410256410257
N3G3,PPK-SVM,56,0.5558974358974359
N3G3,PPK-SVM,57,0.5335897435897435
N3G3,PPK-SVM,58,0.47615384615384615
N3G3,PPK-SVM,59,0.5043589743589744
N3G3,PPK-SVM,60,0.5312820512820513
N3G3,PPK-SVM,61,0.4941025641025641
N3G3,PPK-SVM,62,0.44589743589743586
N3G3,PPK-SVM,63,0.4671794871794872
N3G3,PPK-SVM,64,0.5653846153846154
N3G3,PPK-SVM,65,0.47833333333333333
N3G3,PPK-SVM,66,0.5001282051282051
N3G3,PPK-SVM,67,0.6398717948717949
N3G3,PPK-SVM,68,0.5374358974358975
N3G3,PPK-SVM,69,0.49935897435897436
N3G3,PPK-SVM,70,0.571923076923077
N3G3,PPK-SVM,71,0.5498717948717948
N3G3,PPK-SVM,72,0.435
N3G3,PPK-SVM,73,0.46782051282051285
N3G3,PPK-SVM,74,0.5166666666666666
N3G3,PPK-SVM,75,0.5607692307692307
N3G3,PPK-SVM,76,0.555
N3G3,PPK-SVM,77,0.5174358974358975
N3G3,PPK-SVM,78,0.44435897435897437
N3G3,PPK-SVM,79,0.6106410256410256
N3G3,PPK-SVM,80,0.5405128205128205
N3G3,PPK-SVM,81,0.5117948717948718
N3G3,PPK-SVM,82,0.5729487179487179
N3G3,PPK-SVM,83,0.5193589743589744
N3G3,PPK-SVM,84,0.48679487179487174
N3G3,PPK-SVM,85,0.536025641025641
N3G3,PPK-SVM,86,0.546025641025641
N3G3,PPK-SVM,87,0.5667948717948719
N3G3,PPK-SVM,88,0.49833333333333335
N3G3,PPK-SVM,89,0.5024358974358974
N3G3,PPK-SVM,90,0.5129487179487179
N3G3,PPK-SVM,91,0.4361538461538462
N3G3,PPK-SVM,92,0.45423076923076927
N3G3,PPK-SVM,93,0.4596153846153846
N3G3,PPK-SVM,94,0.49371794871794866
N3G3,PPK-SVM,95,0.4676923076923077
N3G3,PPK-SVM,96,0.5671794871794872
N3G3,PPK-SVM,97,0.5893589743589743
N3G3,PPK-SVM,98,0.441025641025641
N3G3,PPK-SVM,99,0.5208974358974359
N3G3,PPK-SVM,100,0.5276923076923077
N3G3,PPK-SVM,101,0.553974358974359
N3G3,PPK-SVM,102,0.5173076923076924
N3G3,PPK-SVM,103,0.5646153846153846
N3G3,PPK-SVM,104,0.5642307692307693
N3G3,PPK-SVM,105,0.5438461538461539
N3G3,PPK-SVM,106,0.5161538461538462
N3G3,PPK-SVM,107,0.4723076923076923
N3G3,PPK-SVM,108,0.4903846153846154
N3G3,PPK-SVM,109,0.44115384615384623
N3G3,PPK-SVM,110,0.5247435897435898
N3G3,PPK-SVM,111,0.42769230769230776
N3G3,PPK-SVM,112,0.558076923076923
N3G3,PPK-SVM,113,0.44846153846153847
N3G3,PPK-SVM,114,0.5226923076923077
N3G3,PPK-SVM,115,0.45692307692307693
N3G3,PPK-SVM,116,0.4796153846153846
N3G3,PPK-SVM,117,0.5166666666666666
N3G3,PPK-SVM,118,0.5088461538461538
N3G3,PPK-SVM,119,0.4976923076923077
N3G3,PPK-SVM,120,0.5285897435897436
N3G3,PPK-SVM,121,0.6037179487179487
N3G3,PPK-SVM,122,0.5266666666666667
N3G3,PPK-SVM,123,0.5353846153846153
N3G3,PPK-SVM,124,0.4503846153846153
N3G3,PPK-SVM,125,0.5051282051282051
N3G3,PPK-SVM,126,0.518974358974359
N3G3,PPK-SVM,127,0.4856410256410256
N3G3,PPK-SVM,128,0.43141025641025643
N3G3,PPK-SVM,129,0.530897435897436
N3G3,PPK-SVM,130,0.5383333333333333
N3G3,PPK-SVM,131,0.46269230769230774
N3G3,PPK-SVM,132,0.4807692307692308
N3G3,PPK-SVM,133,0.49641025641025643
N3G3,PPK-SVM,134,0.5734615384615385
N3G3,PPK-SVM,135,0.5164102564102564
N3G3,PPK-SVM,136,0.4746153846153846
N3G3,PPK-SVM,137,0.5855128205128205
N3G3,PPK-SVM,138,0.4801282051282051
N3G3,PPK-SVM,139,0.5255128205128206
N3G3,PPK-SVM,140,0.4342307692307692
N3G3,PPK-SVM,141,0.465
N3G3,PPK-SVM,142,0.5696153846153846
N3G3,PPK-SVM,143,0.6080769230769231
N3G3,PPK-SVM,144,0.5932051282051283
N3G3,PPK-SVM,145,0.48897435897435904
N3G3,PPK-SVM,146,0.5333333333333333
N3G3,PPK-SVM,147,0.548076923076923
N3G3,PPK-SVM,148,0.49320512820512824
N3G3,PPK-SVM,149,0.46615384615384614
N3G3,PPK-SVM,150,0.4724358974358974
N3G3,PPK-SVM,151,0.5582051282051281
N3G3,PPK-SVM,152,0.36935897435897436
N3G3,PPK-SVM,153,0.4664102564102564
N3G3,PPK-SVM,154,0.6051282051282051
N3G3,PPK-SVM,155,0.4453846153846154
N3G3,PPK-SVM,156,0.5264102564102564
N3G3,PPK-SVM,157,0.4488461538461538
N3G3,PPK-SVM,158,0.5270512820512819
N3G3,PPK-SVM,159,0.532948717948718
N3G3,PPK-SVM,160,0.5165384615384616
N3G3,PPK-SVM,161,0.4483333333333333
N3G3,PPK-SVM,162,0.5021794871794872
N3G3,PPK-SVM,163,0.5126923076923077
N3G3,PPK-SVM,164,0.4957692307692308
N3G3,PPK-SVM,165,0.47833333333333333
N3G3,PPK-SVM,166,0.5924358974358974
N3G3,PPK-SVM,167,0.47871794871794876
N3G3,PPK-SVM,168,0.4688461538461539
N3G3,PPK-SVM,169,0.46628205128205125
N3G3,PPK-SVM,170,0.413076923076923
N3G3,PPK-SVM,171,0.38641025641025645
N3G3,PPK-SVM,172,0.4183333333333333
N3G3,PPK-SVM,173,0.4798717948717948
N3G3,PPK-SVM,174,0.46294871794871795
N3G3,PPK-SVM,175,0.5035897435897436
N3G3,PPK-SVM,176,0.5751282051282052
N3G3,PPK-SVM,177,0.5441025641025642
N3G3,PPK-SVM,178,0.46128205128205124
N3G3,PPK-SVM,179,0.5434615384615386
N3G3,PPK-SVM,180,0.5416666666666666
N3G3,PPK-SVM,181,0.5142307692307693
N3G3,PPK-SVM,182,0.49910256410256415
N3G3,PPK-SVM,183,0.49346153846153845
N3G3,PPK-SVM,184,0.5503846153846154
N3G3,PPK-SVM,185,0.5158974358974359
N3G3,PPK-SVM,186,0.48
N3G3,PPK-SVM,187,0.4971794871794872
N3G3,PPK-SVM,188,0.5394871794871796
N3G3,PPK-SVM,189,0.5385897435897435
N3G3,PPK-SVM,190,0.5251282051282051
N3G3,PPK-SVM,191,0.5251282051282051
N3G3,PPK-SVM,192,0.483076923076923
N3G3,PPK-SVM,193,0.5228205128205128
N3G3,PPK-SVM,194,0.43871794871794867
N3G3,PPK-SVM,195,0.4607692307692308
N3G3,PPK-SVM,196,0.47474358974358977
N3G3,PPK-SVM,197,0.4896153846153846
N3G3,PPK-SVM,198,0.49987179487179484
N3G3,PPK-SVM,199,0.4971794871794872
N3G3,PPK-SVM,200,0.5506410256410256
N3G3,PPK-SVM,201,0.5185897435897435
N3G3,PPK-SVM,202,0.4457692307692308
N3G3,PPK-SVM,203,0.5408974358974359
N3G3,PPK-SVM,204,0.4373076923076923
N3G3,PPK-SVM,205,0.5226923076923077
N3G3,PPK-SVM,206,0.4292307692307692
N3G3,PPK-SVM,207,0.5861538461538462
N3G3,PPK-SVM,208,0.4951282051282051
N3G3,PPK-SVM,209,0.49717948717948723
N3G3,PPK-SVM,210,0.5055128205128205
N3G3,PPK-SVM,211,0.507948717948718
N3G3,PPK-SVM,212,0.4255128205128205
N3G3,PPK-SVM,213,0.5878205128205128
N3G3,PPK-SVM,214,0.5612820512820513
N3G3,PPK-SVM,215,0.49756410256410255
N3G3,PPK-SVM,216,0.5443589743589744
N3G3,PPK-SVM,217,0.4733333333333334
N3G3,PPK-SVM,218,0.5367948717948717
N3G3,PPK-SVM,219,0.4644871794871795
N3G3,PPK-SVM,220,0.5511538461538462
N3G3,PPK-SVM,221,0.47102564102564104
N3G3,PPK-SVM,222,0.5216666666666667
N3G3,PPK-SVM,223,0.5082051282051282
N3G3,PPK-SVM,224,0.562051282051282
N3G3,PPK-SVM,225,0.43294871794871803
N3G3,PPK-SVM,226,0.4642307692307693
N3G3,PPK-SVM,227,0.48089743589743583
N3G3,PPK-SVM,228,0.48820512820512824
N3G3,PPK-SVM,229,0.48333333333333334
N3G3,PPK-SVM,230,0.5178205128205128
N3G3,PPK-SVM,231,0.5257692307692308
N3G3,PPK-SVM,232,0.4501282051282051
N3G3,PPK-SVM,233,0.5089743589743589
N3G3,PPK-SVM,234,0.4543589743589744
N3G3,PPK-SVM,235,0.493974358974359
N3G3,PPK-SVM,236,0.35794871794871796
N3G3,PPK-SVM,237,0.48269230769230775
N3G3,PPK-SVM,238,0.5144871794871796
N3G3,PPK-SVM,239,0.4601282051282051
N3G3,PPK-SVM,240,0.49666666666666665
N3G3,PPK-SVM,241,0.5071794871794871
N3G3,PPK-SVM,242,0.5815384615384616
N3G3,PPK-SVM,243,0.48294871794871796
N3G3,PPK-SVM,244,0.4798717948717949
N3G3,PPK-SVM,245,0.6065384615384616
N3G3,PPK-SVM,246,0.5303846153846155
N3G3,PPK-SVM,247,0.5083333333333333
N3G3,PPK-SVM,248,0.577051282051282
N3G3,PPK-SVM,249,0.5142307692307692
N3G3,PPK-SVM,250,0.5216666666666666
N3G3,PPK-SVM,251,0.4973076923076923
N3G3,PPK-SVM,252,0.6214102564102564
N3G3,PPK-SVM,253,0.5620512820512821
N3G3,PPK-SVM,254,0.491025641025641
N3G3,PPK-SVM,255,0.5060256410256411
N3G3,PPK-SVM,256,0.5319230769230769
N3G3,PPK-SVM,257,0.522051282051282
N3G3,PPK-SVM,258,0.486923076923077
N3G3,PPK-SVM,259,0.4673076923076923
N3G3,PPK-SVM,260,0.5076923076923077
N3G3,PPK-SVM,261,0.5535897435897436
N3G3,PPK-SVM,262,0.43256410256410255
N3G3,PPK-SVM,263,0.5330769230769231
N3G3,PPK-SVM,264,0.5152564102564103
N3G3,PPK-SVM,265,0.5352564102564102
N3G3,PPK-SVM,266,0.5425641025641026
N3G3,PPK-SVM,267,0.48423076923076924
N3G3,PPK-SVM,268,0.4961538461538462
N3G3,PPK-SVM,269,0.515897435897436
N3G3,PPK-SVM,270,0.5655128205128205
N3G3,PPK-SVM,271,0.4857692307692308
N3G3,PPK-SVM,272,0.4461538461538461
N3G3,PPK-SVM,273,0.5078205128205129
N3G3,PPK-SVM,274,0.5024358974358974
N3G3,PPK-SVM,275,0.5523076923076923
N3G3,PPK-SVM,276,0.48833333333333334
N3G3,PPK-SVM,277,0.5541025641025641
N3G3,PPK-SVM,278,0.49448717948717946
N3G3,PPK-SVM,279,0.4282051282051281
N3G3,PPK-SVM,280,0.5419230769230768
N3G3,PPK-SVM,281,0.5551282051282052
