config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N3G3,PPK-SVM,accuracy,0.7061,0.1023,0.6671,0.7467,0.5417,0.9167,25
N3G3,PPK-SVM,balanced_accuracy,0.7055,0.1023,0.6664,0.7456,0.5417,0.9167,25
N3G3,PPK-SVM,sensitivity,0.7677,0.1468,0.7126,0.8241,0.5,1.0,25
N3G3,PPK-SVM,specificity,0.6433,0.1385,0.59,0.7,0.4167,0.9167,25
N3G3,PPK-SVM,precision,0.6918,0.0964,0.6553,0.7299,0.5333,0.9,25
N3G3,PPK-SVM,recall,0.7677,0.1468,0.7126,0.8241,0.5,1.0,25
N3G3,PPK-SVM,f1,0.7218,0.1004,0.6841,0.7617,0.5217,0.9231,25
N3G3,PPK-SVM,auc_roc,0.7624,0.136,0.7012,0.8111,0.25,0.9514,25
N3G3,PPK-SVM,mcc,0.4245,0.2116,0.3446,0.508,0.0836,0.8452,25
