config_tag,classifier,fold_id,repeat,fold,outer_seed,best_T,best_rho,best_k,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N3G3,PPK-SVM,r1f1,0,0,0,3,0.7,,0.01,0.7291666666666666,25,12,13,96,48,48,9,7,5,4,0.64,0.6378205128205128,0.6923076923076923,0.5833333333333334,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.25,0.2774251285747237
N3G3,PPK-SVM,r1f2,0,1,0,3,0.4,,10.0,0.7928921568627452,24,12,12,97,48,49,7,8,4,5,0.625,0.625,0.5833333333333334,0.6666666666666666,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.7708333333333334,0.2508726030021272
N3G3,PPK-SVM,r1f3,0,2,0,10,0.85,,10.0,0.7009803921568628,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.8055555555555556,0.5853694070049635
N3G3,PPK-SVM,r1f4,0,3,0,5,0.55,,10.0,0.7843137254901961,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.7569444444444444,0.43033148291193524
N3G3,PPK-SVM,r1f5,0,4,0,2,0.4,,1.0,0.7303921568627452,24,12,12,97,48,49,11,7,5,1,0.75,0.75,0.9166666666666666,0.5833333333333334,0.6875,0.9166666666666666,0.7857142857142857,0.875,0.5303300858899107
N3G3,PPK-SVM,r2f1,1,0,1,10,0.85,,10.0,0.7916666666666666,25,12,13,96,48,48,8,6,6,5,0.56,0.5576923076923077,0.6153846153846154,0.5,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.6153846153846154,0.11613144917081457
N3G3,PPK-SVM,r2f2,1,1,1,5,0.85,,1.0,0.7622549019607843,24,12,12,97,48,49,8,5,7,4,0.5416666666666666,0.5416666666666666,0.6666666666666666,0.4166666666666667,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6979166666666666,0.08606629658238706
N3G3,PPK-SVM,r2f3,1,2,1,1,0.85,,10.0,0.7242647058823529,24,12,12,97,48,49,12,9,3,0,0.875,0.875,1.0,0.75,0.8,1.0,0.8888888888888888,0.9027777777777778,0.7745966692414834
N3G3,PPK-SVM,r2f4,1,3,1,5,0.85,,100.0,0.7340686274509803,24,12,12,97,48,49,7,10,2,5,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.8333333333333334,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.8055555555555556,0.43033148291193524
N3G3,PPK-SVM,r2f5,1,4,1,7,0.85,,10.0,0.6997549019607843,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8333333333333333,0.5
N3G3,PPK-SVM,r3f1,2,0,2,3,0.4,,1.0,0.71875,25,12,13,96,48,48,13,8,4,0,0.84,0.8333333333333333,1.0,0.6666666666666666,0.7647058823529411,1.0,0.8666666666666667,0.9166666666666667,0.7140055472954167
N3G3,PPK-SVM,r3f2,2,1,2,1,0.25,,10.0,0.7303921568627452,24,12,12,97,48,49,10,9,3,2,0.7916666666666666,0.7916666666666667,0.8333333333333334,0.75,0.7692307692307693,0.8333333333333334,0.8,0.7847222222222223,0.5853694070049635
N3G3,PPK-SVM,r3f3,2,2,2,15,0.55,,10.0,0.7953431372549019,24,12,12,97,48,49,7,9,3,5,0.6666666666666666,0.6666666666666667,0.5833333333333334,0.75,0.7,0.5833333333333334,0.6363636363636364,0.7777777777777778,0.3380617018914066
