classifier,scope,n_folds,mean_rkhs,mean_ppk,mean_diff,std_diff,cohens_d,t_statistic,t_pvalue,wilcoxon_stat,wilcoxon_pvalue,n_rkhs_higher,n_ppk_higher,n_tied
KNN,N3G3,25,0.6633333333333333,0.722948717948718,-0.059615384615384605,0.10150275504228772,-0.587327748794088,-2.9366387439704402,0.007210346805311435,39.0,0.007694118847564413,6,15,4
KNN,N4G4,25,0.6846153846153846,0.706025641025641,-0.02141025641025641,0.10311650120379774,-0.20763171907803132,-1.0381585953901566,0.3095431573791504,115.5,0.32318468218528207,11,13,1
KNN,N5G5,25,0.7050026666666667,0.7161538461538463,-0.011151179487179488,0.08877139156124275,-0.12561681518179615,-0.6280840759089806,0.5358804139186173,128.0,0.529503613058222,10,14,1
KNN,POOLED,75,0.6843171282051282,0.7150427350427351,-0.03072560683760684,0.0989268225294374,-0.31058924214880046,-2.689781738430177,0.00883137213890051,797.5,0.014161345679532233,27,42,6
SVM,N3G3,25,0.7350000000000001,0.7055128205128206,0.029487179487179476,0.10100816315904577,0.2919286774946046,1.4596433874730228,0.15735458773111036,115.0,0.20083419530545132,16,9,0
SVM,N4G4,25,0.7251282051282051,0.7134615384615386,0.011666666666666652,0.08746770795129927,0.13338255843130678,0.6669127921565339,0.5111892771835396,77.0,0.2949925095587016,12,8,5
SVM,N5G5,25,0.7116666666666667,0.7303846153846155,-0.01871794871794872,0.11808218943868813,-0.1585162741894081,-0.7925813709470405,0.4357869580314446,114.0,0.4645360525341973,10,13,2
SVM,POOLED,75,0.7239316239316239,0.7164529914529916,0.007478632478632469,0.10350767526535817,0.072251960634415,0.625720333826366,0.5334235371380693,1050.0,0.4519580523576324,38,30,7
