config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N4G4,PPK-KNN,accuracy,0.7073,0.083,0.6755,0.7409,0.5417,0.875,25
N4G4,PPK-KNN,balanced_accuracy,0.706,0.0834,0.6742,0.7395,0.5417,0.875,25
N4G4,PPK-KNN,sensitivity,0.7587,0.1396,0.7003,0.8095,0.4167,1.0,25
N4G4,PPK-KNN,specificity,0.6533,0.154,0.5933,0.7133,0.3333,1.0,25
N4G4,PPK-KNN,precision,0.7013,0.0993,0.6649,0.7435,0.5455,1.0,25
N4G4,PPK-KNN,recall,0.7587,0.1396,0.7003,0.8095,0.4167,1.0,25
N4G4,PPK-KNN,f1,0.7197,0.0901,0.683,0.7542,0.5217,0.8571,25
N4G4,PPK-KNN,auc_roc,0.7658,0.0873,0.7309,0.7992,0.5833,0.9038,25
N4G4,PPK-KNN,mcc,0.4279,0.1665,0.3636,0.4961,0.0836,0.7746,25
