config_tag,classifier,fold_id,repeat,fold,outer_seed,best_T,best_rho,best_k,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N5G5,PPK-KNN,r3f1,2,0,2,1,0.25,9,,0.7708333333333334,25,12,13,96,48,48,12,6,6,1,0.72,0.7115384615384616,0.9230769230769231,0.5,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.858974358974359,0.4707565417620042
N5G5,PPK-KNN,r3f2,2,1,2,15,0.55,7,,0.8026960784313726,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.8333333333333334,0.5
N5G5,PPK-KNN,r3f3,2,2,2,1,0.1,5,,0.8131127450980392,24,12,12,97,48,49,8,7,5,4,0.625,0.625,0.6666666666666666,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.64,0.7569444444444444,0.2508726030021272
N5G5,PPK-KNN,r3f4,2,3,2,5,0.4,5,,0.8045343137254902,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7881944444444444,0.6024640760767094
N5G5,PPK-KNN,r3f5,2,4,2,3,0.4,5,,0.7947303921568628,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.7361111111111112,0.5853694070049635
N5G5,PPK-KNN,r4f1,3,0,3,7,0.55,5,,0.8125,25,12,13,96,48,48,11,6,6,2,0.68,0.6730769230769231,0.8461538461538461,0.5,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.7756410256410257,0.3707336495572356
N5G5,PPK-KNN,r4f2,3,1,3,15,0.4,5,,0.7959558823529411,24,12,12,97,48,49,7,8,4,5,0.625,0.625,0.5833333333333334,0.6666666666666666,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.5902777777777778,0.2508726030021272
N5G5,PPK-KNN,r4f3,3,2,3,7,0.55,9,,0.7714460784313726,24,12,12,97,48,49,10,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9375,0.6666666666666666
N5G5,PPK-KNN,r4f4,3,3,3,5,0.4,7,,0.7316176470588235,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.8055555555555555,0.5853694070049635
N5G5,PPK-KNN,r4f5,3,4,3,15,0.55,1,,0.7928921568627452,24,12,12,97,48,49,8,10,2,4,0.75,0.75,0.6666666666666666,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.75,0.50709255283711
N5G5,PPK-KNN,r5f1,4,0,4,5,0.4,3,,0.71875,25,12,13,96,48,48,10,9,3,3,0.76,0.7596153846153846,0.7692307692307693,0.75,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8012820512820513,0.5192307692307693
N5G5,PPK-KNN,r5f2,4,1,4,7,0.4,5,,0.7720588235294118,24,12,12,97,48,49,6,12,0,6,0.75,0.75,0.5,1.0,1.0,0.5,0.6666666666666666,0.861111111111111,0.5773502691896257
N5G5,PPK-KNN,r5f3,4,2,4,3,0.25,5,,0.7205882352941176,24,12,12,97,48,49,7,10,2,5,0.7083333333333334,0.7083333333333334,0.5833333333333334,0.8333333333333334,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.7743055555555556,0.43033148291193524
N5G5,PPK-KNN,r5f4,4,3,4,5,0.55,9,,0.8125,24,12,12,97,48,49,11,5,7,1,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.4166666666666667,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.75,0.3849001794597505
N5G5,PPK-KNN,r5f5,4,4,4,2,0.25,7,,0.7640931372549019,24,12,12,97,48,49,11,5,7,1,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.4166666666666667,0.6111111111111112,0.9166666666666666,0.7333333333333333,0.7083333333333334,0.3849001794597505
