config_tag,classifier,fold_id,repeat,fold,outer_seed,best_T,best_rho,best_k,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N5G5,PPK-KNN,r1f1,0,0,0,1,0.25,9,,0.7604166666666666,25,12,13,96,48,48,11,7,5,2,0.72,0.7147435897435898,0.8461538461538461,0.5833333333333334,0.6875,0.8461538461538461,0.7586206896551724,0.8397435897435898,0.44702442937253495
N5G5,PPK-KNN,r1f2,0,1,0,3,0.25,5,,0.8137254901960785,24,12,12,97,48,49,9,7,5,3,0.6666666666666666,0.6666666666666667,0.75,0.5833333333333334,0.6428571428571429,0.75,0.6923076923076923,0.7986111111111112,0.3380617018914066
N5G5,PPK-KNN,r1f3,0,2,0,7,0.55,3,,0.7205882352941176,24,12,12,97,48,49,8,11,1,4,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.8472222222222223,0.6024640760767094
N5G5,PPK-KNN,r1f4,0,3,0,5,0.55,3,,0.823529411764706,24,12,12,97,48,49,8,6,6,4,0.5833333333333334,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6458333333333333,0.1690308509457033
N5G5,PPK-KNN,r1f5,0,4,0,2,0.1,5,,0.8143382352941176,24,12,12,97,48,49,11,7,5,1,0.75,0.75,0.9166666666666666,0.5833333333333334,0.6875,0.9166666666666666,0.7857142857142857,0.8541666666666666,0.5303300858899107
N5G5,PPK-KNN,r2f1,1,0,1,3,0.55,5,,0.78125,25,12,13,96,48,48,12,6,6,1,0.72,0.7115384615384616,0.9230769230769231,0.5,0.6666666666666666,0.9230769230769231,0.7741935483870968,0.7532051282051282,0.4707565417620042
N5G5,PPK-KNN,r2f2,1,1,1,15,0.55,7,,0.7506127450980392,24,12,12,97,48,49,8,6,6,4,0.5833333333333334,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7083333333333334,0.1690308509457033
N5G5,PPK-KNN,r2f3,1,2,1,5,0.4,1,,0.7941176470588235,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.7083333333333334,0.43033148291193524
N5G5,PPK-KNN,r2f4,1,3,1,5,0.25,3,,0.7751225490196078,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.8194444444444444,0.5853694070049635
N5G5,PPK-KNN,r2f5,1,4,1,3,0.25,3,,0.6991421568627452,24,12,12,97,48,49,9,8,4,3,0.7083333333333334,0.7083333333333333,0.75,0.6666666666666666,0.6923076923076923,0.75,0.72,0.7395833333333334,0.4181210050035454
