config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N3G3,PPK-KNN,accuracy,0.7235,0.107,0.6821,0.764,0.5,0.92,25
N3G3,PPK-KNN,balanced_accuracy,0.7229,0.1068,0.6819,0.7635,0.5,0.9199,25
N3G3,PPK-KNN,sensitivity,0.7992,0.1106,0.7556,0.841,0.5833,0.9231,25
N3G3,PPK-KNN,specificity,0.6467,0.1477,0.59,0.7033,0.3333,0.9167,25
N3G3,PPK-KNN,precision,0.7031,0.1065,0.6635,0.7445,0.5,0.9231,25
N3G3,PPK-KNN,recall,0.7992,0.1106,0.7556,0.841,0.5833,0.9231,25
N3G3,PPK-KNN,f1,0.745,0.0974,0.7081,0.7821,0.56,0.9231,25
N3G3,PPK-KNN,auc_roc,0.7649,0.0916,0.7306,0.7992,0.5833,0.9514,25
N3G3,PPK-KNN,mcc,0.4555,0.2145,0.3722,0.5368,0.0,0.8397,25
N3G3,PPK-SVM,accuracy,0.7061,0.1023,0.6671,0.7467,0.5417,0.9167,25
N3G3,PPK-SVM,balanced_accuracy,0.7055,0.1023,0.6664,0.7456,0.5417,0.9167,25
N3G3,PPK-SVM,sensitivity,0.7677,0.1468,0.7126,0.8241,0.5,1.0,25
N3G3,PPK-SVM,specificity,0.6433,0.1385,0.59,0.7,0.4167,0.9167,25
N3G3,PPK-SVM,precision,0.6918,0.0964,0.6553,0.7299,0.5333,0.9,25
N3G3,PPK-SVM,recall,0.7677,0.1468,0.7126,0.8241,0.5,1.0,25
N3G3,PPK-SVM,f1,0.7218,0.1004,0.6841,0.7617,0.5217,0.9231,25
N3G3,PPK-SVM,auc_roc,0.7624,0.136,0.7012,0.8111,0.25,0.9514,25
N3G3,PPK-SVM,mcc,0.4245,0.2116,0.3446,0.508,0.0836,0.8452,25
