config_tag,classifier,fold_id,repeat,fold,outer_seed,best_T,best_rho,best_k,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc
N3G3,PPK-KNN,r1f1,0,0,0,3,0.4,1,,0.7708333333333334,25,12,13,96,48,48,12,11,1,1,0.92,0.9198717948717949,0.9230769230769231,0.9166666666666666,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9198717948717948,0.8397435897435898
N3G3,PPK-KNN,r1f2,0,1,0,15,0.55,7,,0.8351715686274509,24,12,12,97,48,49,8,7,5,4,0.625,0.625,0.6666666666666666,0.5833333333333334,0.6153846153846154,0.6666666666666666,0.64,0.7291666666666666,0.2508726030021272
N3G3,PPK-KNN,r1f3,0,2,0,3,0.25,7,,0.7089460784313726,24,12,12,97,48,49,11,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9305555555555556,0.8333333333333334
N3G3,PPK-KNN,r1f4,0,3,0,15,0.55,3,,0.8449754901960785,24,12,12,97,48,49,7,6,6,5,0.5416666666666666,0.5416666666666667,0.5833333333333334,0.5,0.5384615384615384,0.5833333333333334,0.56,0.6319444444444444,0.08362420100070908
N3G3,PPK-KNN,r1f5,0,4,0,10,0.7,1,,0.7818627450980392,24,12,12,97,48,49,11,7,5,1,0.75,0.75,0.9166666666666666,0.5833333333333334,0.6875,0.9166666666666666,0.7857142857142857,0.7499999999999999,0.5303300858899107
N3G3,PPK-KNN,r2f1,1,0,1,5,0.7,9,,0.78125,25,12,13,96,48,48,12,7,5,1,0.76,0.7532051282051282,0.9230769230769231,0.5833333333333334,0.7058823529411765,0.9230769230769231,0.8,0.8333333333333334,0.5423695984263261
N3G3,PPK-KNN,r2f2,1,1,1,7,0.7,5,,0.78125,24,12,12,97,48,49,8,4,8,4,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6805555555555556,0.0
N3G3,PPK-KNN,r2f3,1,2,1,7,0.7,1,,0.7640931372549019,24,12,12,97,48,49,11,6,6,1,0.7083333333333334,0.7083333333333333,0.9166666666666666,0.5,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.7083333333333333,0.45834924851410563
N3G3,PPK-KNN,r2f4,1,3,1,3,0.4,1,,0.7622549019607843,24,12,12,97,48,49,8,9,3,4,0.7083333333333334,0.7083333333333333,0.6666666666666666,0.75,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.7083333333333334,0.4181210050035454
N3G3,PPK-KNN,r2f5,1,4,1,5,0.4,1,,0.7101715686274509,24,12,12,97,48,49,9,9,3,3,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5
N3G3,PPK-KNN,r3f1,2,0,2,7,0.7,1,,0.75,25,12,13,96,48,48,11,9,3,2,0.8,0.7980769230769231,0.8461538461538461,0.75,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.798076923076923,0.6000124873825419
N3G3,PPK-KNN,r3f2,2,1,2,2,0.25,3,,0.7824754901960785,24,12,12,97,48,49,9,6,6,3,0.625,0.625,0.75,0.5,0.6,0.75,0.6666666666666666,0.7291666666666667,0.25819888974716115
N3G3,PPK-KNN,r3f3,2,2,2,5,0.25,3,,0.7824754901960785,24,12,12,97,48,49,9,5,7,3,0.5833333333333334,0.5833333333333334,0.75,0.4166666666666667,0.5625,0.75,0.6428571428571429,0.704861111111111,0.1767766952966369
N3G3,PPK-KNN,r3f4,2,3,2,15,0.55,1,,0.7634803921568628,24,12,12,97,48,49,10,7,5,2,0.7083333333333334,0.7083333333333334,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.7407407407407407,0.7083333333333334,0.43033148291193524
N3G3,PPK-KNN,r3f5,2,4,2,7,0.4,3,,0.7935049019607843,24,12,12,97,48,49,8,9,3,4,0.7083333333333334,0.7083333333333333,0.6666666666666666,0.75,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.7708333333333334,0.4181210050035454
N3G3,PPK-KNN,r4f1,3,0,3,7,0.7,1,,0.78125,25,12,13,96,48,48,11,8,4,2,0.76,0.7564102564102564,0.8461538461538461,0.6666666666666666,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.7564102564102566,0.5229763603684907
N3G3,PPK-KNN,r4f2,3,1,3,5,0.4,1,,0.8039215686274509,24,12,12,97,48,49,8,6,6,4,0.5833333333333334,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5833333333333333,0.1690308509457033
N3G3,PPK-KNN,r4f3,3,2,3,7,0.7,1,,0.7420343137254902,24,12,12,97,48,49,11,10,2,1,0.875,0.875,0.9166666666666666,0.8333333333333334,0.8461538461538461,0.9166666666666666,0.88,0.8749999999999999,0.7526178090063816
N3G3,PPK-KNN,r4f4,3,3,3,15,0.55,3,,0.8033088235294118,24,12,12,97,48,49,11,6,6,1,0.7083333333333334,0.7083333333333333,0.9166666666666666,0.5,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.7708333333333333,0.45834924851410563
N3G3,PPK-KNN,r4f5,3,4,3,15,0.55,5,,0.792279411764706,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.861111111111111,0.50709255283711
N3G3,PPK-KNN,r5f1,4,0,4,1,1.0,1,,0.7083333333333334,25,12,13,96,48,48,9,8,4,4,0.68,0.6794871794871795,0.6923076923076923,0.6666666666666666,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6794871794871796,0.358974358974359
N3G3,PPK-KNN,r5f2,4,1,4,5,0.4,1,,0.7414215686274509,24,12,12,97,48,49,11,9,3,1,0.8333333333333334,0.8333333333333333,0.9166666666666666,0.75,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8333333333333334,0.6761234037828132
N3G3,PPK-KNN,r5f3,4,2,4,3,0.25,7,,0.7083333333333334,24,12,12,97,48,49,10,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.951388888888889,0.6666666666666666
N3G3,PPK-KNN,r5f4,4,3,4,7,0.55,1,,0.8039215686274509,24,12,12,97,48,49,8,8,4,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.3333333333333333
N3G3,PPK-KNN,r5f5,4,4,4,3,0.4,1,,0.8045343137254902,24,12,12,97,48,49,11,8,4,1,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.6666666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.7916666666666667,0.6024640760767094
