config_tag,classifier,metric,mean,std,ci_lower,ci_upper,min,max,n_folds
N3G3,PPK-KNN,accuracy,0.7235,0.107,0.6821,0.764,0.5,0.92,25
N3G3,PPK-KNN,balanced_accuracy,0.7229,0.1068,0.6819,0.7635,0.5,0.9199,25
N3G3,PPK-KNN,sensitivity,0.7992,0.1106,0.7556,0.841,0.5833,0.9231,25
N3G3,PPK-KNN,specificity,0.6467,0.1477,0.59,0.7033,0.3333,0.9167,25
N3G3,PPK-KNN,precision,0.7031,0.1065,0.6635,0.7445,0.5,0.9231,25
N3G3,PPK-KNN,recall,0.7992,0.1106,0.7556,0.841,0.5833,0.9231,25
N3G3,PPK-KNN,f1,0.745,0.0974,0.7081,0.7821,0.56,0.9231,25
N3G3,PPK-KNN,auc_roc,0.7649,0.0916,0.7306,0.7992,0.5833,0.9514,25
N3G3,PPK-KNN,mcc,0.4555,0.2145,0.3722,0.5368,0.0,0.8397,25
